segundo,emocion_facial,emocion_texto,transcripcion,congruencia
0,angry,anger,What you're doing right now at this very moment is killing you.,Congruente
1,angry,anger,What you're doing right now at this very moment is killing you.,Congruente
2,sad,anger,What you're doing right now at this very moment is killing you.,INCONGRUENCIA
3,sad,anger,What you're doing right now at this very moment is killing you.,INCONGRUENCIA
4,happy,anger,What you're doing right now at this very moment is killing you.,INCONGRUENCIA
5,fear,anger,What you're doing right now at this very moment is killing you.,INCONGRUENCIA
6,sad,anger,What you're doing right now at this very moment is killing you.,INCONGRUENCIA
7,sad,anger,What you're doing right now at this very moment is killing you.,INCONGRUENCIA
8,sad,anger,What you're doing right now at this very moment is killing you.,INCONGRUENCIA
9,sad,anger,What you're doing right now at this very moment is killing you.,INCONGRUENCIA
10,sad,anger,What you're doing right now at this very moment is killing you.,INCONGRUENCIA
11,sad,anger,What you're doing right now at this very moment is killing you.,INCONGRUENCIA
12,fear,anger,What you're doing right now at this very moment is killing you.,INCONGRUENCIA
13,fear,anger,What you're doing right now at this very moment is killing you.,INCONGRUENCIA
14,sad,anger,What you're doing right now at this very moment is killing you.,INCONGRUENCIA
15,happy,anger,What you're doing right now at this very moment is killing you.,INCONGRUENCIA
16,sad,anger,What you're doing right now at this very moment is killing you.,INCONGRUENCIA
17,happy,anger,What you're doing right now at this very moment is killing you.,INCONGRUENCIA
18,sad,anger,What you're doing right now at this very moment is killing you.,INCONGRUENCIA
19,sad,anger,What you're doing right now at this very moment is killing you.,INCONGRUENCIA
20,sad,anger,What you're doing right now at this very moment is killing you.,INCONGRUENCIA
21,sad,neutral,"More than cars or the internet or even that little mobile device we keep talking about,",INCONGRUENCIA
22,sad,neutral,"More than cars or the internet or even that little mobile device we keep talking about,",INCONGRUENCIA
23,sad,neutral,"More than cars or the internet or even that little mobile device we keep talking about,",INCONGRUENCIA
24,sad,neutral,"More than cars or the internet or even that little mobile device we keep talking about,",INCONGRUENCIA
25,sad,neutral,"More than cars or the internet or even that little mobile device we keep talking about,",INCONGRUENCIA
26,fear,neutral,"the technology you're using the most almost every day is this, your TUSH.",INCONGRUENCIA
27,sad,neutral,"the technology you're using the most almost every day is this, your TUSH.",INCONGRUENCIA
28,angry,neutral,"the technology you're using the most almost every day is this, your TUSH.",INCONGRUENCIA
29,neutral,neutral,"the technology you're using the most almost every day is this, your TUSH.",Congruente
30,neutral,neutral,"the technology you're using the most almost every day is this, your TUSH.",Congruente
31,sad,neutral,"the technology you're using the most almost every day is this, your TUSH.",INCONGRUENCIA
32,fear,neutral,"the technology you're using the most almost every day is this, your TUSH.",INCONGRUENCIA
33,happy,neutral,"Nowadays people are sitting 9.3 hours a day, which is more than we're sleeping at 7.7 hours.",INCONGRUENCIA
34,neutral,neutral,"Nowadays people are sitting 9.3 hours a day, which is more than we're sleeping at 7.7 hours.",Congruente
35,happy,neutral,"Nowadays people are sitting 9.3 hours a day, which is more than we're sleeping at 7.7 hours.",INCONGRUENCIA
