segundo,emocion_facial,emocion_texto,transcripcion,congruencia
0,angry,sadness,"A few years ago, I felt like I was stuck in a rut. So I decided to follow in the footsteps",INCONGRUENCIA
1,happy,sadness,"A few years ago, I felt like I was stuck in a rut. So I decided to follow in the footsteps",INCONGRUENCIA
2,fear,sadness,"A few years ago, I felt like I was stuck in a rut. So I decided to follow in the footsteps",INCONGRUENCIA
3,angry,sadness,"A few years ago, I felt like I was stuck in a rut. So I decided to follow in the footsteps",INCONGRUENCIA
4,sad,sadness,"A few years ago, I felt like I was stuck in a rut. So I decided to follow in the footsteps",Congruente
5,sad,sadness,"A few years ago, I felt like I was stuck in a rut. So I decided to follow in the footsteps",Congruente
6,sad,sadness,"A few years ago, I felt like I was stuck in a rut. So I decided to follow in the footsteps",Congruente
7,sad,sadness,"A few years ago, I felt like I was stuck in a rut. So I decided to follow in the footsteps",Congruente
8,sad,sadness,"A few years ago, I felt like I was stuck in a rut. So I decided to follow in the footsteps",Congruente
9,sad,sadness,"A few years ago, I felt like I was stuck in a rut. So I decided to follow in the footsteps",Congruente
10,sad,sadness,"A few years ago, I felt like I was stuck in a rut. So I decided to follow in the footsteps",Congruente
11,angry,sadness,"A few years ago, I felt like I was stuck in a rut. So I decided to follow in the footsteps",INCONGRUENCIA
12,angry,sadness,"A few years ago, I felt like I was stuck in a rut. So I decided to follow in the footsteps",INCONGRUENCIA
13,angry,sadness,"A few years ago, I felt like I was stuck in a rut. So I decided to follow in the footsteps",INCONGRUENCIA
14,angry,sadness,"A few years ago, I felt like I was stuck in a rut. So I decided to follow in the footsteps",INCONGRUENCIA
15,fear,sadness,"A few years ago, I felt like I was stuck in a rut. So I decided to follow in the footsteps",INCONGRUENCIA
16,fear,sadness,"A few years ago, I felt like I was stuck in a rut. So I decided to follow in the footsteps",INCONGRUENCIA
17,happy,sadness,"A few years ago, I felt like I was stuck in a rut. So I decided to follow in the footsteps",INCONGRUENCIA
18,happy,sadness,"A few years ago, I felt like I was stuck in a rut. So I decided to follow in the footsteps",INCONGRUENCIA
19,happy,sadness,"A few years ago, I felt like I was stuck in a rut. So I decided to follow in the footsteps",INCONGRUENCIA
20,happy,sadness,"A few years ago, I felt like I was stuck in a rut. So I decided to follow in the footsteps",INCONGRUENCIA
21,happy,sadness,"A few years ago, I felt like I was stuck in a rut. So I decided to follow in the footsteps",INCONGRUENCIA
22,happy,sadness,"A few years ago, I felt like I was stuck in a rut. So I decided to follow in the footsteps",INCONGRUENCIA
23,neutral,neutral,"of the great American philosopher, Morgan Spurlock, and try something new for 30 days. The idea",Congruente
24,sad,neutral,"of the great American philosopher, Morgan Spurlock, and try something new for 30 days. The idea",INCONGRUENCIA
25,surprise,neutral,"of the great American philosopher, Morgan Spurlock, and try something new for 30 days. The idea",INCONGRUENCIA
26,surprise,neutral,"of the great American philosopher, Morgan Spurlock, and try something new for 30 days. The idea",INCONGRUENCIA
27,surprise,neutral,"of the great American philosopher, Morgan Spurlock, and try something new for 30 days. The idea",INCONGRUENCIA
28,surprise,neutral,"of the great American philosopher, Morgan Spurlock, and try something new for 30 days. The idea",INCONGRUENCIA
29,neutral,neutral,"of the great American philosopher, Morgan Spurlock, and try something new for 30 days. The idea",Congruente
30,neutral,neutral,"is actually pretty simple. Think about something you've always wanted to add to your life and try it for the next 30 days. It turns out, 30 days is just about the right amount of time to add a new habit or subtract a habit, like watching the news from your life. There's a few things that I learned while doing these 30 day challenges. The first was, instead of the months flying by, forgotten, the time was much more memorable. This was part of a challenge I did to take a picture",Congruente
31,angry,neutral,"is actually pretty simple. Think about something you've always wanted to add to your life and try it for the next 30 days. It turns out, 30 days is just about the right amount of time to add a new habit or subtract a habit, like watching the news from your life. There's a few things that I learned while doing these 30 day challenges. The first was, instead of the months flying by, forgotten, the time was much more memorable. This was part of a challenge I did to take a picture",INCONGRUENCIA
32,angry,neutral,"is actually pretty simple. Think about something you've always wanted to add to your life and try it for the next 30 days. It turns out, 30 days is just about the right amount of time to add a new habit or subtract a habit, like watching the news from your life. There's a few things that I learned while doing these 30 day challenges. The first was, instead of the months flying by, forgotten, the time was much more memorable. This was part of a challenge I did to take a picture",INCONGRUENCIA
33,fear,neutral,"is actually pretty simple. Think about something you've always wanted to add to your life and try it for the next 30 days. It turns out, 30 days is just about the right amount of time to add a new habit or subtract a habit, like watching the news from your life. There's a few things that I learned while doing these 30 day challenges. The first was, instead of the months flying by, forgotten, the time was much more memorable. This was part of a challenge I did to take a picture",INCONGRUENCIA
